row_id,order_id,order_date,order_priority,quantity,sales,discount,ship_mode,profit,unit_price,shipping_cost,customer_name,province,region,segment,category,sub_category,product_name,product_container,product_base_margin,ship_date,year,quarter,month,profit_margin,discount_bucket
1,3,2010-10-13,Low,6,261.54,0.04,Regular Air,-213.25,38.94,35.0,Muhammed MacIntyre,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,2010-10-20,2010,4,10,-0.8153628508067599,1-10%
2,293,2012-10-01,High,49,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58,2012-10-02,2012,4,10,0.045224646399987356,1-10%
3,293,2012-10-01,High,27,244.57,0.01,Regular Air,46.71,8.69,2.99,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D¨ Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,2012-10-03,2012,4,10,0.19098826511837103,1-10%
4,483,2011-07-10,High,30,4965.7595,0.08,Regular Air,1198.97,195.99,3.99,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,R380,Small Box,0.58,2011-07-12,2011,3,7,0.24144745632566378,1-10%
5,515,2010-08-28,Not Specified,19,394.27,0.08,Regular Air,30.94,21.78,5.94,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,2010-08-30,2010,3,8,0.07847414208537297,1-10%
6,515,2010-08-28,Not Specified,21,146.69,0.05,Regular Air,4.43,6.64,4.95,Carlos Soltero,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,2010-08-30,2010,3,8,0.03019974095030336,1-10%
7,613,2011-06-17,High,12,93.54,0.03,Regular Air,-54.04,7.3,7.72,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,2011-06-17,2011,2,6,-0.5777207611716912,1-10%
8,613,2011-06-17,High,22,905.08,0.09,Regular Air,127.7,42.76,6.22,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,,2011-06-18,2011,2,6,0.14109250011048746,1-10%
9,643,2011-03-24,High,21,2781.82,0.07,Express Air,-695.26,138.14,35.0,Monica Federle,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,,2011-03-25,2011,1,3,-0.24992990200659998,1-10%
10,678,2010-02-26,Low,44,228.41,0.07,Regular Air,-226.36,4.98,8.33,Dorothy Badders,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.38,2010-02-26,2010,1,2,-0.9910249113436366,1-10%
